,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bedrooms,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price_orig
0,house,house,10666428,essen,2910,Antwerpen,Flanders,469000,Heidestatiestraat 26,D,390.0,0,1,0,760,34,4,0,0,3,1,0,0,2,Installed,0,€469000
1,house,house,10666426,bierges,1301,Brabant wallon,Wallonia,1395000,"Rue de Wavre, 27",C,178.0,0,1,60,6468,50,4,1988,Good,5,2,3,1,4,Hyper equipped,Fuel oil,€1395000
2,apartment,apartment,10666424,arlon,6700,Luxembourg,Wallonia,285000,Avenue de Longwy 340,D,299.0,0,0,0,0,0,2,0,Good,2,2,0,0,2,Installed,Electric,€285000
3,house,house,10666423,arlon,6700,Luxembourg,Wallonia,285000,Avenue de Longwy 340,D,299.0,0,0,0,0,0,2,0,Good,2,2,0,0,2,Installed,Electric,€285000
4,apartment,apartment,10666422,antwerp,2000,Antwerpen,Flanders,425000,"Grote steenweg, 511",C,254.0,0,1,4,0,40,0,0,As new,2,1,0,0,0,Installed,0,€425000
6,house,house,10666419,grace-hollogne,4460,Liï¿½ge,Wallonia,189000,Avenue Louis Libert 1,E,346.0,0,1,0,360,32,2,1934,Good,2,1,0,0,0,Semi equipped,Fuel oil,€189000
7,house,villa,10666418,aywaille,4920,Liï¿½ge,Wallonia,399999,Avenue Louis Libert 1,C,228.0,0,1,0,1059,44,4,2004,To be done up,4,1,0,1,0,Semi equipped,Fuel oil,€399999
8,house,house,10666417,boom,2850,Antwerpen,Flanders,324000,Goedehoopstraat 21,C,219.0,0,1,0,65,0,2,0,Good,3,1,0,1,3,0,0,€324000
9,house,mixed-use-building,10666416,boom,2850,Antwerpen,Flanders,324000,Goedehoopstraat 21,C,219.0,0,1,0,65,0,2,0,Good,3,1,0,1,3,0,0,€324000
10,house,house,10666410,liedekerke,1770,Vlaams-Brabant,Flanders,269000,Affligemsestraat 443,D,396.0,0,0,0,115,24,3,0,Good,3,1,0,0,2,0,Gas,€269000
