,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Price_orig,Terrace2,Province,Region
0,469000,Heidestatiestraat 26,3,D,390,0,1,0,760,34,4,0,0,0,1,0,0,2,Installed,0,10666428,2910,469000,€469000,1,Antwerpen,Flanders
1,1395000,"Rue de Wavre, 27",5,C,178,0,1,60,6468,50,4,1988,Good,0,2,3,1,4,Hyper equipped,Fuel oil,10666426,1301,1395000,€1395000,1,Brabant wallon,Wallonia
2,285000,Avenue de Longwy 340,2,D,299,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,10666424,6700,285000,€285000,0,Luxembourg,Wallonia
3,285000,Avenue de Longwy 340,2,D,299,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,10666423,6700,285000,€285000,0,Luxembourg,Wallonia
4,425000,"Grote steenweg, 511",2,C,254,0,1,4,0,40,0,0,As new,0,1,0,0,0,Installed,0,10666422,2000,425000,€425000,1,Antwerpen,Flanders
5,725000,Wichelsesteenweg 109,2,Not specified,Not specified,0,1,0,0,0,3,0,Good,0,1,0,0,1,0,0,10666421,9340,725000,€725000,1,Oost-Vlaanderen,Flanders
6,189000,Avenue Louis Libert 1,2,E,346,0,1,0,360,32,2,1934,Good,0,1,0,0,0,Semi equipped,Fuel oil,10666419,4460,189000,€189000,1,Liï¿½ge,Wallonia
7,399999,Avenue Louis Libert 1,4,C,228,0,1,0,1059,44,4,2004,To be done up,0,1,0,1,0,Semi equipped,Fuel oil,10666418,4920,399999,€399999,1,Liï¿½ge,Wallonia
8,324000,Goedehoopstraat 21,3,C,219,0,1,0,65,0,2,0,Good,0,1,0,1,3,0,0,10666417,2850,324000,€324000,1,Antwerpen,Flanders
9,324000,Goedehoopstraat 21,3,C,219,0,1,0,65,0,2,0,Good,0,1,0,1,3,0,0,10666416,2850,324000,€324000,1,Antwerpen,Flanders
10,269000,Affligemsestraat 443,3,D,396,0,0,0,115,24,3,0,Good,0,1,0,0,2,0,Gas,10666410,1770,269000,€269000,0,Vlaams-Brabant,Flanders
11,239000,Grote Baan 170,3,F,684,0,1,0,132,33,2,1952,Good,0,1,0,0,0,Hyper equipped,Electric,10666405,9300,239000,€239000,1,Oost-Vlaanderen,Flanders
12,335000,Leo de béthunelaan 8,4,Not specified,Not specified,0,1,0,0,0,2,0,0,0,1,0,0,0,Hyper equipped,0,10666403,9300,335000,€335000,1,Oost-Vlaanderen,Flanders
13,215000,Dorpsstraat 84,3,E,487,0,0,0,305,28,2,1946,To renovate,0,1,0,1,0,0,0,10666402,2170,215000,€215000,0,Antwerpen,Flanders
14,310000,Brusselbaan 110,3,B,155,0,1,8,60,33,2,1930,Good,0,1,0,0,0,Installed,Gas,10666396,9300,310000,€310000,1,Oost-Vlaanderen,Flanders
15,2950000,"Avenue de la Forêt de Soignes, 327",6,D,180,0,1,100,1800,80,4,0,As new,0,4,0,1,5,Hyper equipped,0,10666393,1180,2950000,€2950000,1,Brussels Hoofdstedelijk Gewest,Brussels
16,297000,Rondplein 14/2,3,B,199,0,1,0,562,28,4,1973,0,0,1,0,1,0,Hyper equipped,0,10666390,3970,297000,€297000,1,Limburg,Flanders
17,395000,Gitschotellei 153-157,3,B,162,0,0,0,161,42,2,0,Just renovated,0,1,0,0,1,0,0,10666385,2100,395000,€395000,0,Antwerpen,Flanders
18,125000,Brusselbaan 90,1,F,688,0,1,5,0,25,2,0,Good,0,1,0,0,1,Semi equipped,Gas,10506515,9300,125000,€125000,1,Oost-Vlaanderen,Flanders
19,125000,Brusselbaan 90,1,C,256,0,1,5,0,25,2,0,To be done up,0,1,0,0,0,Semi equipped,Gas,10506513,9300,125000,€125000,1,Oost-Vlaanderen,Flanders
20,125000,Brusselbaan 90,1,F,686,0,1,5,0,25,2,0,Good,0,1,0,0,1,Installed,Gas,10506511,9300,125000,€125000,1,Oost-Vlaanderen,Flanders
21,155000,Brusselbaan 90,2,E,467,0,0,0,0,40,2,0,Good,0,1,0,0,1,Semi equipped,Gas,10506510,9300,155000,€155000,0,Oost-Vlaanderen,Flanders
22,259000,"Capucienenlaan, 1",4,C,238,0,1,0,150,32,2,0,0,0,1,0,0,1,USA installed,Gas,10666384,9300,259000,€259000,1,Oost-Vlaanderen,Flanders
23,1990000,Chaussée de Waterloo 1382,5,A,31.76,0,1,40,1184,65,4,2018,As new,0,3,1,1,5,USA hyper equipped,0,10666382,1180,1990000,€1990000,1,Brussels Hoofdstedelijk Gewest,Brussels
24,595000,Chaussée de Waterloo 1382,3,D,190,0,1,7,0,54,2,1937,Good,0,2,1,1,2,Hyper equipped,Fuel oil,10666381,1200,595000,€595000,1,Brussels Hoofdstedelijk Gewest,Brussels
25,700000,Voie de L'air Pur 211,3,C,218,0,1,0,3190,50,4,1993,As new,0,1,0,1,2,Installed,Fuel oil,10666371,4877,700000,€700000,1,Liï¿½ge,Wallonia
26,875000,Kempischveldweg 34,5,B,187,0,1,0,2146,46,4,1972,Good,0,2,0,1,0,USA hyper equipped,Gas,10666368,2930,875000,€875000,1,Antwerpen,Flanders
27,1295000,Kempischveldweg 34,5,C,206,0,1,0,2710,0,4,1895,As new,0,2,0,1,0,Hyper equipped,0,10666367,2180,1295000,€1295000,1,Antwerpen,Flanders
28,341850,Eikenenweg 73/1,2,Not specified,Not specified,0,1,32,268,0,3,0,As new,0,2,0,0,0,Hyper equipped,0,10666365,3990,341850,€341850,1,Limburg,Flanders
29,394050,Eikenenweg 73/1,3,Not specified,Not specified,0,1,29,268,0,3,0,As new,0,1,0,0,0,Hyper equipped,0,10666363,3990,394050,€394050,1,Limburg,Flanders
30,570000,Eikenenweg 73/1,2,Not specified,Not specified,0,1,40,0,0,2,0,As new,0,1,0,0,0,Hyper equipped,0,10666361,3500,570000,€570000,1,Limburg,Flanders
31,278887,Eikenenweg 73/1,1,Not specified,Not specified,0,1,7,0,0,2,0,0,0,1,0,0,0,0,0,10666360,3500,278887,€278887,1,Limburg,Flanders
32,595000,Koninlijkelaan 42,4,C,230,0,1,0,333,0,3,0,As new,0,2,0,0,0,0,Gas,10666355,2660,595000,€595000,1,Antwerpen,Flanders
33,325000,Steenweg 299,4,C,211,0,1,0,222,28,3,0,Good,0,1,0,0,0,Installed,Gas,10666354,9300,325000,€325000,1,Oost-Vlaanderen,Flanders
34,469000,"Avenue des Cerisiers, 212",4,F,283,0,1,40,343,40,3,1963,As new,0,1,1,1,2,Hyper equipped,0,10666352,1020,469000,€469000,1,Brussels Hoofdstedelijk Gewest,Brussels
35,240000,"Avenue des Cerisiers, 212",2,E,221,0,1,17,0,28,0,1964,To renovate,0,1,1,0,1,Semi equipped,Gas,10666348,1200,240000,€240000,1,Brussels Hoofdstedelijk Gewest,Brussels
36,299000,"Avenue des Cerisiers, 212",3,D,178,0,1,9,0,30,2,1964,To renovate,0,1,0,0,1,0,Fuel oil,10666347,1200,299000,€299000,1,Brussels Hoofdstedelijk Gewest,Brussels
37,523265,Den Triangel 2,0,Not specified,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10666342,9930,523265,€523265,0,,
38,215000,Den Triangel 2,2,B,109,0,1,0,0,0,3,2012,As new,0,1,0,0,1,USA hyper equipped,0,10560725,8810,215000,€215000,1,West-Vlaanderen,Flanders
39,400742,Den Triangel 2,0,Not specified,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10666337,8770,400742,€400742,0,West-Vlaanderen,Flanders
40,508496,"Kerkstraat, 38",3,Not specified,Not specified,0,1,0,490,0,4,0,As new,0,1,0,0,2,0,0,10666336,3200,508496,€508496,1,Vlaams-Brabant,Flanders
41,426974,"Kerkstraat, 38",3,Not specified,Not specified,0,1,0,563,0,4,0,As new,0,1,0,0,2,0,0,10666335,1570,426974,€426974,1,Vlaams-Brabant,Flanders
42,200000,Avenue Baron Albert d'Huart 130,2,E,274,0,1,5,0,30,0,1970,To renovate,0,1,1,0,0,Installed,Gas,10666334,1030,200000,€200000,1,Brussels Hoofdstedelijk Gewest,Brussels
43,175000,Kerkstraat 64,2,E,411,0,0,0,260,0,2,0,To be done up,0,1,0,0,1,Installed,Gas,10666333,9160,175000,€175000,0,Oost-Vlaanderen,Flanders
44,950000,Chaussée de Marche 474,5,C,234,0,1,120,24347,40,4,1989,As new,0,2,2,0,2,Installed,Fuel oil,10666313,5150,950000,€950000,1,Namur,Wallonia
45,840000,Rue Belliard 200,5,F,325,0,1,5,0,36,3,1931,As new,0,3,3,1,4,Hyper equipped,Gas,10666312,1150,840000,€840000,1,Brussels Hoofdstedelijk Gewest,Brussels
46,1400000,Rue Belliard 200,8,E,253,0,1,0,305,389,2,1912,Good,0,4,116,1,2,Installed,Gas,10666309,1030,1400000,€1400000,1,Brussels Hoofdstedelijk Gewest,Brussels
47,570000,Rue Belliard 200,2,G,733,0,1,8,0,55,2,1960,Just renovated,0,1,0,0,2,USA hyper equipped,Fuel oil,10666308,1040,570000,€570000,1,Brussels Hoofdstedelijk Gewest,Brussels
48,840000,Rue Belliard 200,5,F,325,0,1,5,0,36,3,1931,As new,0,3,0,1,4,Hyper equipped,Gas,10666307,1160,840000,€840000,1,Brussels Hoofdstedelijk Gewest,Brussels
49,525000,Joseph Durieux 151,3,C,173,0,1,50,0,20,3,0,0,0,0,2,1,4,Hyper equipped,0,10666301,5100,525000,€525000,1,Namur,Wallonia
