Postcode,Gemeente,Deelgemeente,Provincie,Inwoners,"Facili-
teiten","Vertaling naam
(deel)gemeente",
1000,Brussel,,Brussels Hoofdstedelijk Gewest,178552,N+F,Bruxelles,
1000,Bruxelles,,Brussels Hoofdstedelijk Gewest,,N+F,Brussel,
1030,Schaarbeek,,Brussels Hoofdstedelijk Gewest,132590,N+F,Schaerbeek,
1030,Schaerbeek,,Brussels Hoofdstedelijk Gewest,,N+F,Schaarbeek,
1040,Etterbeek,,Brussels Hoofdstedelijk Gewest,47180,N+F,-,
1050,Elsene,,Brussels Hoofdstedelijk Gewest,85541,N+F,Ixelles,
1050,Ixelles,,Brussels Hoofdstedelijk Gewest,,N+F,Elsene,
1060,Saint-Gilles,,Brussels Hoofdstedelijk Gewest,,N+F,Sint-Gillis,
1060,Sint-Gillis,,Brussels Hoofdstedelijk Gewest,50659,N+F,Saint-Gilles,
1070,Anderlecht,,Brussels Hoofdstedelijk Gewest,117412,N+F,-,
1080,Molenbeek-Saint-Jean,,Brussels Hoofdstedelijk Gewest,,N+F,Sint-Jans-Molenbeek,
1080,Sint-Jans-Molenbeek,,Brussels Hoofdstedelijk Gewest,96586,N+F,Molenbeek-Saint-Jean,
1081,Koekelberg,,Brussels Hoofdstedelijk Gewest,21638,N+F,-,
1082,Berchem-Sainte-Agathe,,Brussels Hoofdstedelijk Gewest,,N+F,Sint-Agatha-Berchem,
1082,Sint-Agatha-Berchem,,Brussels Hoofdstedelijk Gewest,24224,N+F,Berchem-Sainte-Agathe,
1083,Ganshoren,,Brussels Hoofdstedelijk Gewest,24269,N+F,-,
1090,Jette,,Brussels Hoofdstedelijk Gewest,51426,N+F,-,
1140,Evere,,Brussels Hoofdstedelijk Gewest,39556,N+F,-,
1150,Sint-Pieters-Woluwe,,Brussels Hoofdstedelijk Gewest,41207,N+F,Woluwe-Saint-Pierre,
1150,Woluwe-Saint-Pierre,,Brussels Hoofdstedelijk Gewest,,N+F,Sint-Pieters-Woluwe,
1160,Auderghem,,Brussels Hoofdstedelijk Gewest,,N+F,Oudergem,
1160,Oudergem,,Brussels Hoofdstedelijk Gewest,33161,N+F,Auderghem,
1170,Watermaal-Bosvoorde,,Brussels Hoofdstedelijk Gewest,24619,N+F,Watermael-Boitsfort,
1170,Watermael-Boitsfort,,Brussels Hoofdstedelijk Gewest,,N+F,Watermaal-Bosvoorde,
1180,Uccle,,Brussels Hoofdstedelijk Gewest,,N+F,Ukkel,
1180,Ukkel,,Brussels Hoofdstedelijk Gewest,81944,N+F,Uccle,
1190,Forest,,Brussels Hoofdstedelijk Gewest,,N+F,Vorst,
1190,Vorst,,Brussels Hoofdstedelijk Gewest,55613,N+F,Forest,
1200,Sint-Lambrechts-Woluwe,,Brussels Hoofdstedelijk Gewest,54311,N+F,Woluwe-Saint-Lambert,
1200,Woluwe-Saint-Lambert,,Brussels Hoofdstedelijk Gewest,,N+F,Sint-Lambrechts-Woluwe,
1210,Saint-Josse-ten-Noode,,Brussels Hoofdstedelijk Gewest,,N+F,Sint-Joost-ten-Node,
1210,Sint-Joost-ten-Node,,Brussels Hoofdstedelijk Gewest,27402,N+F,Saint-Josse-ten-Noode,
1300,Wavre,,Brabant wallon,33806,,Waver,
1300,Waver,,Brabant wallon,,,Wavre,
1310,La Hulpe,,Brabant wallon,7368,,Terhulpen,
1310,Terhulpen,,Brabant wallon,,,La Hulpe,
1315,Incourt,,Brabant wallon,5347,,,
1320,Beauvechain,,Brabant wallon,7104,,Bevekom,
1320,Bevekom,,Brabant wallon,,,Beauvechain,
1325,Chaumont-Gistoux,,Brabant wallon,11698,,,
1330,Rixensart,,Brabant wallon,22128,,,
1340,Ottignies-Louvain-la-Neuve,,Brabant wallon,31562,,,
1350,Orp-Jauche,,Brabant wallon,8756,,,
1357,H�l�cine,,Brabant wallon,3387,,Op- en Neerheylissem,
1360,Perwez,,Brabant wallon,9173,,Perwijs,
1360,Perwijs,,Brabant wallon,,,Perwez,
1367,Ramillies,,Brabant wallon,6293,,,
1370,Jodoigne,,Brabant wallon,13883,,Geldenaken,
1370,Geldenaken,,Brabant wallon,,,Jodoigne,
1380,Lasne,,Brabant wallon,14133,,,
1390,Grez-Doiceau,,Brabant wallon,13088,,Graven,
1390,Graven,,Brabant wallon,,,Grez-Doiceau,
1400,Nivelles,,Brabant wallon,28027,,Nijvel,
1400,Nijvel,,Brabant wallon,,,Nivelles,
1410,Waterloo,,Brabant wallon,29794,,,
1420,Braine-l'Alleud,,Brabant wallon,39785,,Eigenbrakel,
1420,Eigenbrakel,,Brabant wallon,,,Braine-l'Alleud,
1430,Rebecq,,Brabant wallon,10939,,Roosbeek,
1435,Mont-Saint-Guibert,,Brabant wallon,7364,,,
1440,Braine-le-Ch�teau,,Brabant wallon,10287,,Kasteelbrakel,
1440,Kasteelbrakel,,Brabant wallon,,,Braine-le-Ch�teau,
1450,Chastre,,Brabant wallon,7518,,,
1457,Walhain,,Brabant wallon,6997,,,
1460,Ittre,,Brabant wallon,6784,,Itter,
1460,Itter,,Brabant wallon,,,Ittre,
1470,Genappe,,Brabant wallon,15302,,Genepi�n,
1470,Genepi�n,,Brabant wallon,,,Genappe,
1480,Tubize,,Brabant wallon,25424,,Tubeke,
1480,Tubeke,,Brabant wallon,,,Tubize,
1490,Court-Saint-�tienne,,Brabant wallon,10395,,,
1495,Villers-la-Ville,,Brabant wallon,10498,,,
1500,Halle,,Vlaams-Brabant,38289,,Hal,
1500,Hal,,Vlaams-Brabant,,,Halle,
1540,Herne,,Vlaams-Brabant,6617,,,
1547,Bever,,Vlaams-Brabant,2151,f,Bi�v�ne,
1547,Bi�v�ne,,Vlaams-Brabant,,f,Bever,
1560,Hoeilaart,,Vlaams-Brabant,10915,,,
1570,Galmaarden,,Vlaams-Brabant,8670,,Gammerages,
1570,Gammerages,,Vlaams-Brabant,,,Galmaarden,
1600,Sint-Pieters-Leeuw,,Vlaams-Brabant,33512,,,
1620,Drogenbos,,Vlaams-Brabant,5372,f,,
1630,Linkebeek,,Vlaams-Brabant,4752,f,,
1640,Sint-Genesius-Rode,,Vlaams-Brabant,18171,f,Rhode-Saint-Gen�se,
1640,Rhode-Saint-Gen�se,,Vlaams-Brabant,,f,Sint-Genesius-Rode,
1650,Beersel,,Vlaams-Brabant,24745,,,
1670,Pepingen,,Vlaams-Brabant,4424,,,
1700,Dilbeek,,Vlaams-Brabant,41450,,,
1730,Asse,,Vlaams-Brabant,32402,,,
1740,Ternat,,Vlaams-Brabant,15286,,,
1745,Opwijk,,Vlaams-Brabant,14208,,,
1750,Lennik,,Vlaams-Brabant,9033,,,
1755,Gooik,,Vlaams-Brabant,9212,,,
1760,Roosdaal,,Vlaams-Brabant,11494,,,
1770,Liedekerke,,Vlaams-Brabant,12919,,,
1780,Wemmel,,Vlaams-Brabant,16059,f,,
1785,Merchtem,,Vlaams-Brabant,16083,,,
1790,Affligem,,Vlaams-Brabant,13079,,,
1800,Vilvoorde,,Vlaams-Brabant,43017,,Vilvorde,
1800,Vilvorde,,Vlaams-Brabant,,,Vilvoorde,
1820,Steenokkerzeel,,Vlaams-Brabant,11924,,,
1830,Machelen,,Vlaams-Brabant,14764,,,
1840,Londerzeel,,Vlaams-Brabant,18274,,,
1850,Grimbergen,,Vlaams-Brabant,36742,,,
1860,Meise,,Vlaams-Brabant,18742,,,
1880,Kapelle-op-den-Bos,,Vlaams-Brabant,9370,,,
1910,Kampenhout,,Vlaams-Brabant,11689,,,
1930,Zaventem,,Vlaams-Brabant,33034,,,
1950,Kraainem,,Vlaams-Brabant,13713,f,,
1970,Wezembeek-Oppem,,Vlaams-Brabant,14095,f,,
1980,Zemst,,Vlaams-Brabant,23068,,,
2000,Antwerpen,,Antwerpen,517042,,Anvers,
2000,Anvers,,Antwerpen,,,Antwerpen,
2018,Antwerpen,,Antwerpen,,,Anvers,
2018,Anvers,,Antwerpen,,,Antwerpen,
2020,Antwerpen,,Antwerpen,,,Anvers,
2020,Anvers,,Antwerpen,,,Antwerpen,
2030,Antwerpen,,Antwerpen,,,Anvers,
2030,Anvers,,Antwerpen,,,Antwerpen,
2040,Antwerpen,,Antwerpen,,,Anvers,
2040,Anvers,,Antwerpen,,,Antwerpen,
2050,Antwerpen,,Antwerpen,,,Anvers,
2050,Anvers,,Antwerpen,,,Antwerpen,
2060,Antwerpen,,Antwerpen,,,Anvers,
2060,Anvers,,Antwerpen,,,Antwerpen,
2070,Zwijndrecht,,Antwerpen,18957,,"Februari 2023: plannen voor provinciegrenswijziging, opdat Zwijndrecht in Oost-Vlaanderen komt te liggen i.p.v. in Antwerpen",
2100,Antwerpen,,Antwerpen,,,Anvers,
2100,Anvers,,Antwerpen,,,Antwerpen,
2110,Wijnegem,,Antwerpen,9365,,,
2140,Antwerpen,,Antwerpen,,,Anvers,
2140,Anvers,,Antwerpen,,,Antwerpen,
2150,Borsbeek,,Antwerpen,10540,,,
2160,Wommelgem,,Antwerpen,12591,,,
2170,Antwerpen,,Antwerpen,,,Anvers,
2170,Anvers,,Antwerpen,,,Antwerpen,
2180,Antwerpen,,Antwerpen,,,Anvers,
2180,Anvers,,Antwerpen,,,Antwerpen,
2200,Herentals,,Antwerpen,27728,,,
2220,Heist-op-den-Berg,,Antwerpen,42110,,,
2230,Herselt,,Antwerpen,14491,,,
2235,Hulshout,,Antwerpen,10255,,,
2240,Zandhoven,,Antwerpen,12768,,,
2250,Olen,,Antwerpen,12242,,,
2260,Westerlo,,Antwerpen,24705,,,
2270,Herenthout,,Antwerpen,8806,,,
2275,Lille,,Antwerpen,16404,,,
2280,Grobbendonk,,Antwerpen,11204,,,
2290,Vorselaar,,Antwerpen,7777,,,
2300,Turnhout,,Antwerpen,42965,,,
2310,Rijkevorsel,,Antwerpen,11823,,,
2320,Hoogstraten,,Antwerpen,21183,,,
2330,Merksplas,,Antwerpen,8642,,,
2340,Beerse,,Antwerpen,17829,,,
2350,Vosselaar,,Antwerpen,10935,,,
2360,Oud-Turnhout,,Antwerpen,13307,,,
2370,Arendonk,,Antwerpen,13142,,,
2380,Ravels,,Antwerpen,14735,,,
2387,Baarle-Hertog,,Antwerpen,2663,,Baerle-Duc,
2387,Baerle-Duc,,Antwerpen,,,Baarle-Hertog,
2390,Malle,,Antwerpen,15158,,,
2400,Mol,,Antwerpen,36034,,,
2430,Laakdal,,Antwerpen,15851,,,
2440,Geel,,Antwerpen,39225,,,
2450,Meerhout,,Antwerpen,10162,,,
2460,Kasterlee,,Antwerpen,18331,,,
2470,Retie,,Antwerpen,11096,,,
2480,Dessel,,Antwerpen,9420,,,
2490,Balen,,Antwerpen,22168,,,
2500,Lier,,Antwerpen,34905,,Lierre,
2500,Lierre,,Antwerpen,,,Lier,
2520,Ranst,,Antwerpen,18856,,,
2530,Boechout,,Antwerpen,12844,,,
2540,Hove,,Antwerpen,8141,,,
2547,Lint,,Antwerpen,8821,,,
2550,Kontich,,Antwerpen,20873,,,
2560,Nijlen,,Antwerpen,22651,,,
2570,Duffel,,Antwerpen,17292,,,
2580,Putte,,Antwerpen,17227,,,
2590,Berlaar,,Antwerpen,11203,,,
2600,Antwerpen,,Antwerpen,,,Anvers,
