,Type of property,Location,Postcode,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2,Province,Region
0,house,essen,2910,10666428,469000,Heidestatiestraat 26,3,D,390.0,0,1,0,760,34,4,0,0,0,1,0,0,2,Installed,0,469000,€469000,1,Antwerpen,Flanders
1,house,bierges,1301,10666426,1395000,"Rue de Wavre, 27",5,C,178.0,0,1,60,6468,50,4,1988,Good,0,2,3,1,4,Hyper equipped,Fuel oil,1395000,€1395000,1,Brabant wallon,Wallonia
2,apartment,arlon,6700,10666424,285000,Avenue de Longwy 340,2,D,299.0,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,285000,€285000,0,Luxembourg,Wallonia
3,house,arlon,6700,10666423,285000,Avenue de Longwy 340,2,D,299.0,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,285000,€285000,0,Luxembourg,Wallonia
4,apartment,antwerp,2000,10666422,425000,"Grote steenweg, 511",2,C,254.0,0,1,4,0,40,0,0,As new,0,1,0,0,0,Installed,0,425000,€425000,1,Antwerpen,Flanders
6,house,grace-hollogne,4460,10666419,189000,Avenue Louis Libert 1,2,E,346.0,0,1,0,360,32,2,1934,Good,0,1,0,0,0,Semi equipped,Fuel oil,189000,€189000,1,Liï¿½ge,Wallonia
7,villa,aywaille,4920,10666418,399999,Avenue Louis Libert 1,4,C,228.0,0,1,0,1059,44,4,2004,To be done up,0,1,0,1,0,Semi equipped,Fuel oil,399999,€399999,1,Liï¿½ge,Wallonia
8,house,boom,2850,10666417,324000,Goedehoopstraat 21,3,C,219.0,0,1,0,65,0,2,0,Good,0,1,0,1,3,0,0,324000,€324000,1,Antwerpen,Flanders
9,mixed-use-building,boom,2850,10666416,324000,Goedehoopstraat 21,3,C,219.0,0,1,0,65,0,2,0,Good,0,1,0,1,3,0,0,324000,€324000,1,Antwerpen,Flanders
10,house,liedekerke,1770,10666410,269000,Affligemsestraat 443,3,D,396.0,0,0,0,115,24,3,0,Good,0,1,0,0,2,0,Gas,269000,€269000,0,Vlaams-Brabant,Flanders
11,house,li%C3%A8ge,4030,10666409,480000,Route du Condroz 72,4,D,274.0,0,1,120,2183,16,4,1987,Good,0,2,1,1,2,Installed,Electric,480000,€480000,1,Liï¿½ge,Wallonia
12,house,aalst,9300,10666405,239000,Grote Baan 170,3,F,684.0,0,1,0,132,33,2,1952,Good,0,1,0,0,0,Hyper equipped,Electric,239000,€239000,1,Oost-Vlaanderen,Flanders
14,house,antwerp,2170,10666402,215000,Dorpsstraat 84,3,E,487.0,0,0,0,305,28,2,1946,To renovate,0,1,0,1,0,0,0,215000,€215000,0,Antwerpen,Flanders
15,service-flat,les%20bons%20villers%20villers-perwin,6210,10666397,170000,Place Emile Delalieux 1,1,B,106.0,0,1,8,0,26,0,2018,As new,0,1,1,0,1,Installed,Gas,170000,€170000,1,Hainaut,Wallonia
16,house,aalst,9300,10666396,310000,Brusselbaan 110,3,B,155.0,0,1,8,60,33,2,1930,Good,0,1,0,0,0,Installed,Gas,310000,€310000,1,Oost-Vlaanderen,Flanders
17,villa,uccle,1180,10666393,2950000,"Avenue de la Forêt de Soignes, 327",6,D,180.0,0,1,100,1800,80,4,0,As new,0,4,0,1,5,Hyper equipped,0,2950000,€2950000,1,Brussels Hoofdstedelijk Gewest,Brussels
18,house,leopoldsburg,3970,10666390,297000,Rondplein 14/2,3,B,199.0,0,1,0,562,28,4,1973,0,0,1,0,1,0,Hyper equipped,0,297000,€297000,1,Limburg,Flanders
19,house,deurne,2100,10666385,395000,Gitschotellei 153-157,3,B,162.0,0,0,0,161,42,2,0,Just renovated,0,1,0,0,1,0,0,395000,€395000,0,Antwerpen,Flanders
20,apartment,aalst,9300,10506515,125000,Brusselbaan 90,1,F,688.0,0,1,5,0,25,2,0,Good,0,1,0,0,1,Semi equipped,Gas,125000,€125000,1,Oost-Vlaanderen,Flanders
21,apartment,aalst,9300,10506513,125000,Brusselbaan 90,1,C,256.0,0,1,5,0,25,2,0,To be done up,0,1,0,0,0,Semi equipped,Gas,125000,€125000,1,Oost-Vlaanderen,Flanders
22,apartment,aalst,9300,10506511,125000,Brusselbaan 90,1,F,686.0,0,1,5,0,25,2,0,Good,0,1,0,0,1,Installed,Gas,125000,€125000,1,Oost-Vlaanderen,Flanders
23,apartment,aalst,9300,10506510,155000,Brusselbaan 90,2,E,467.0,0,0,0,0,40,2,0,Good,0,1,0,0,1,Semi equipped,Gas,155000,€155000,0,Oost-Vlaanderen,Flanders
24,house,aalst,9300,10666384,259000,"Capucienenlaan, 1",4,C,238.0,0,1,0,150,32,2,0,0,0,1,0,0,1,USA installed,Gas,259000,€259000,1,Oost-Vlaanderen,Flanders
25,duplex,la%20louvi%C3%A8re,7100,10666383,195000,Rue du Moulin 2,3,B,106.0,0,0,0,0,35,2,0,As new,0,1,0,0,0,Installed,0,195000,€195000,0,Hainaut,Wallonia
26,house,tournai%20kain,7540,10526137,395000,"Bld des Déportés, 56 A",1,E,383.0,0,1,0,1330,0,3,0,To be done up,0,1,1,1,2,Installed,Pellet,395000,€395000,1,Hainaut,Wallonia
27,exceptional-property,uccle,1180,10666382,1990000,Chaussée de Waterloo 1382,5,A,31.76,0,1,40,1184,65,4,2018,As new,0,3,1,1,5,USA hyper equipped,0,1990000,€1990000,1,Brussels Hoofdstedelijk Gewest,Brussels
28,apartment,woluwe-saint-lambert,1200,10666381,595000,Chaussée de Waterloo 1382,3,D,190.0,0,1,7,0,54,2,1937,Good,0,2,1,1,2,Hyper equipped,Fuel oil,595000,€595000,1,Brussels Hoofdstedelijk Gewest,Brussels
29,villa,olne,4877,10666371,700000,Voie de L'air Pur 211,3,C,218.0,0,1,0,3190,50,4,1993,As new,0,1,0,1,2,Installed,Fuel oil,700000,€700000,1,Liï¿½ge,Wallonia
30,house,brasschaat,2930,10666368,875000,Kempischveldweg 34,5,B,187.0,0,1,0,2146,46,4,1972,Good,0,2,0,1,0,USA hyper equipped,Gas,875000,€875000,1,Antwerpen,Flanders
